"","codigo_emenda","numero_emenda","data_apresentacao","colegiado_apresentacao","descricao_turno","descricao_tipo_emenda","codigo_parlamentar","nome_parlamentar.x","nome_completo_parlamentar","sexo_parlamentar","forma_tratamento","url_foto_parlamentar","url_pagina_parlamentar","email_parlamentar","sigla_partido_parlamentar.x","uf_parlamentar","nome_parlamentar.y","sigla_partido_parlamentar.y","sigla_partido_parlamentar"
"1","7989945","00001","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5523","Otto Alencar","Otto Roberto Mendonça de Alencar","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523","sen.ottoalencar@senado.leg.br","PSD","BA","Otto Alencar","PSD","PSD"
"2","7989951","00002","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5523","Otto Alencar","Otto Roberto Mendonça de Alencar","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523","sen.ottoalencar@senado.leg.br","PSD","BA","Otto Alencar","PSD","PSD"
"3","7989960","00003","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5523","Otto Alencar","Otto Roberto Mendonça de Alencar","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523","sen.ottoalencar@senado.leg.br","PSD","BA","Otto Alencar","PSD","PSD"
"4","7990186","00004","2019-08-14","CCJ","PRIMEIRO","EMENDA_PARCIAL","35","Jader Barbalho","Jader Fontenelle Barbalho","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/35","sen.jaderbarbalho@senado.leg.br","MDB","PA","Jader Barbalho","MDB","MDB"
"5","7990275","00005","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5990","Carlos Viana","Carlos Alberto Dias Viana","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990","sen.carlosviana@senado.leg.br","PSD","MG","Carlos Viana","PSD","PSD"
"6","7990854","00006","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM","TO",NA,NA,"DEM"
"7","7990857","00007","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM","TO",NA,NA,"DEM"
"8","7990860","00008","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM","TO",NA,NA,"DEM"
"9","7990863","00009","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"10","7990869","00010","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"11","7990874","00011","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"12","7990877","00012","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
